상품 ID,시트행,상품 이름,사이즈/규격,분류,위치,상태(정규화),상태(원본),처리방안(정규화),처리방안(원본),수량,단위,수량(원본),수량신뢰도,옵션별수량,대여가능(결정),비고/특이사항,지원팀장 의견
Y26-046,47,소독 에탄올,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-047,48,장엄물,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-048,49,재봉틀,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,용도 확인 필요,
Y26-049,50,소감문,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-050,51,현수막,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-051,52,멀티탭,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-052,53,얇은이불,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-053,54,찻잔세트,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-054,55,수건,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-055,56,손수건,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-056,57,휴지,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-057,58,기도포,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-058,59,법복조끼,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-059,60,포스트잇,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-060,61,색종이,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-061,62,전기포트,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-062,63,토치,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-063,64,레크레이션 물품,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-064,65,비상약,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-065,66,볼펜,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-066,67,건전지,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-067,68,명찰,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-068,69,분무기,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-069,70,나무 받침대,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-070,71,탁상시계,,군전법,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-071,72,부처님 사진,,만배/불교,정토회관,active,사용가능,undecided,,7,,7,exact,,,,
Y26-072,73,염주,,만배/불교,정토회관,active,사용가능,undecided,,90,,90,exact,,,,
Y26-073,74,싱잉볼,,만배/불교,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-074,75,인도 전통사리,,만배/불교,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-075,76,싸인펜(10색),,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-076,77,싸인펜(11색),,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-077,78,색연필(12색),,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-078,79,모나미 칼라펜(12색),,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-079,80,테이프,,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-080,81,파일철 및 서류철,,사무용품,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-081,82,"편지지,편지봉투",,사무용품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-082,83,건전지,,소모품,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-083,84,신발주머니,,소모품,정토회관,active,사용가능,undecided,,37,,37,exact,,,,
Y26-084,85,아일렛펀치,,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-085,86,아일렛,,소모품,정토회관,active,사용가능,undecided,,1,봉지,1봉지,exact,,,,
Y26-086,87,테이프데크,,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-087,88,"물티슈 2개, 곽티슈 6개",,소모품,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-088,89,현수막 끈,,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-089,90,보자기 꾸러미 보관함,,소모품,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-090,91,상장케이스 미사용품 ( 남색 / 분홍색 ),,소모품,정토회관,active,사용가능,undecided,,7,,5 / 2,derived,,,,
Y26-091,92,패브릭 마카,8색,소모품,정토회관,active,사용가능,undecided,,12,,12,exact,,,,
Y26-092,93,간편한 일회용 대나무 젓가락,15개,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-093,94,간편한 일회용 대나무 스푼,15개,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-094,95,일회용 물티슈,,소모품,정토회관,active,사용가능,undecided,,4,,4,exact,,,,
Y26-095,96,셀카봉,,소모품,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-096,97,밴프 코펠 세트 3-4인용 CE521,혼합색상,스포츠/등산,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-097,98,에리파이어 알파인 버너 / 캠핑 백패킹 등산 차박 휴대 용 미니 강염 가스 원버너,,스포츠/등산,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-098,99,다이소 도시락통,750ml,스포츠/등산,정토회관,active,사용가능,undecided,,2,,2,exact,,,,
Y26-099,100,청년대학생정토회 조끼 (녹회색),XL,역사기행,정토회관,active,사용가능,undecided,,35,,35,exact,,,,
Y26-100,101,청년대학생정토회 조끼 (녹회색),2XL,역사기행,정토회관,active,사용가능,undecided,,31,,31,exact,,,,
Y26-101,102,청년대학생정토회 조끼 (민트색),M,역사기행,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-102,103,청년대학생정토회 조끼 (민트색),XL,역사기행,정토회관,active,사용가능,undecided,,3,,3,exact,,,,
Y26-103,104,청년대학생정토회 조끼 (민트색),2XL,역사기행,정토회관,active,사용가능,undecided,,42,,42,exact,,,,
Y26-104,105,정토 PRESS 남색 조끼,사이즈 몇?,역사기행,정토회관,active,사용가능,undecided,,4,,4,exact,,,,
Y26-105,106,카키색 조끼 (2XL),2XL,역사기행,정토회관,active,사용가능,undecided,,54,,54,exact,,,,
Y26-106,107,연두색 스탭조끼,L,역사기행,정토회관,active,사용가능,undecided,,50,,50,exact,,,,
Y26-107,108,연두색 스탭조끼,XL,역사기행,정토회관,active,사용가능,undecided,,29,,29,exact,,,,
Y26-108,109,연두색 스탭조끼,2XL,역사기행,정토회관,active,사용가능,undecided,,10,,10,exact,,,,
Y26-109,110,연두색 스탭조끼,3XL,역사기행,정토회관,active,사용가능,undecided,,10,,10,exact,,,,
Y26-110,111,청년대학생정토회 먹색 조끼,L,역사기행,정토회관,active,사용가능,undecided,,37,,37,exact,,,,
Y26-111,112,수신기,,역사기행,정토회관,active,사용가능,undecided,,77,개,77개,exact,,,,
Y26-112,113,송수신기,,역사기행,정토회관,active,사용가능,undecided,,38,,38,exact,,,,
Y26-113,114,불량 수신기,,역사기행,정토회관,repair,고장,undecided,,7,,7,exact,,,,
Y26-114,115,이어폰,,역사기행,정토회관,active,사용가능,undecided,,92,,92,exact,,,,
Y26-115,116,이어마이크,,역사기행,정토회관,active,사용가능,undecided,,43,,43,exact,,,,
Y26-116,117,녹음기,,역사기행,정토회관,active,사용가능,undecided,,2,,2,exact,,,,
Y26-117,118,여권케이스,,역사기행,정토회관,active,사용가능,undecided,,107,,107,exact,,,,
Y26-118,119,우의,,역사기행,정토회관,active,사용가능,undecided,,9,,9,exact,,,,
Y26-119,120,현수막 역사학교 (내가 역사다!),,역사기행,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-120,121,"현수막 경주역사기행 
(법륜스님과 함께하는 청년 경주역사기행)",,역사기행,정토회관,active,사용가능,undecided,,2,,2,exact,,,,
Y26-121,122,현수막 광주역사기행 (광주 5.18 역사기행),,역사기행,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-122,123,현수막 청춘역사톡톡 (내가 역사다!),,역사기행,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-123,124,"현수막 청춘역사톡톡 
(법륜스님과 함께하는 청춘역사톡톡)",,역사기행,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-124,125,비접촉온도계,,의료보건,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-125,126,일회용 마스크,,의료보건,정토회관,active,사용가능,undecided,,6,,6,exact,,,,
Y26-126,127,상비약,,의료보건,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-127,128,생리대,,의료보건,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-128,129,릴선,,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-129,130,HDMI to VGA 컨버터,,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-130,131,기가폰(강의용 마이크&스피커),,전자기기 등,정토회관,active,사용가능,undecided,,3,,3,exact,,,,
Y26-131,132,노트북,,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-132,133,기가폰,,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-133,134,"스피커(마이크 유선1개/무선 1개,리모컨,건전지,어뎁터)",,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-134,135,멀티탭,,전자기기 등,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-135,136,라벨기,,전자기기 등,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-136,137,PPT 프로젝터 포인터,,청년행사,정토회관,active,사용가능,undecided,,3,,3,exact,,,,
Y26-137,138,목걸이형 명찰,,청년행사,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-138,139,돗자리 ( 小-1인용 / 中-단체용 ),,청년행사,정토회관,active,사용가능,undecided,,5,,4 / 1,derived,,,,
Y26-139,140,접이식 의자,,청년행사,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-140,141,폴라로이드 카메라,,청년행사,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-141,142,감정카드,,청년행사,정토회관,active,사용가능,undecided,,2,,2,exact,,,,
Y26-142,143,탁구채,,청년행사,정토회관,active,사용가능,undecided,,2,,2,exact,,,,
Y26-143,144,접이식 라바콘,,청년행사,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-144,145,줄다리기 줄,10M,청년행사,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-145,146,"테이블 보자기 ( 88 * 380 )
테이블 보자기 ( 210 * 260 )
테이블 보자기 ( 420 * 200 )",,청년행사,정토회관,active,사용가능,undecided,,,,각 1개,per_variant,,,,
Y26-146,147,"나무쟁반, 락앤락 등",,청년행사,정토회관,active,사용가능,undecided,,,,,unknown,,,,
Y26-147,148,스님용 방석,,청년행사,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-148,149,"굿프렌즈 조끼 ( 먹색, XL / 2XL / 3XL )",,청년행사,정토회관,active,사용가능,undecided,,9,,5 / 3 / 1,derived,,,,
Y26-149,150,"정토회 조끼 (카키색, L / XL / 2XL)",,청년행사,정토회관,active,사용가능,undecided,,21,,14 / 6 / 1,derived,,,,
Y26-150,151,하루온 팩,,청년행사,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-151,152,깃대봉 / 숫자판,,청년행사,정토회관,active,사용가능,undecided,,43,,6 / 37,derived,,,,
Y26-152,153,현수막 경전대학 실천활동 (청년 경전대학 실천활동),,행자원/불대/경전대,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-153,154,현수막 불교대학 실천활동 (청년 불교대학 실천활동),,행자원/불대/경전대,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
Y26-154,155,"현수막 불교대학&경전대학 특별활동 
(청년 불교대학 & 경전대학 특별활동)",,행자원/불대/경전대,정토회관,active,사용가능,undecided,,1,,1,exact,,,,
